/* DATA DESCRIPTION:
Citation:	WOCE Sea Surface Salinity, SSS (2005): Surface oceanographic data measured in the surface water of the Atlantic Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.314718
Keyword(s):	CO2BaseSleipner
Related to:	WOCE (2002): World Ocean Circulation Experiment, Global Data, Version 3.0. WOCE International Project Office, WOCE Report, Southampton, UK; published by U.S. National Oceanographic Data Center, Silver Spring, 180/02, DVD-ROM
Project(s):	World Ocean Circulation Experiment (WOCE) (URI: https://en.wikipedia.org/wiki/World_Ocean_Circulation_Experiment)
Coverage:	MEDIAN LATITUDE: 25.558145 * MEDIAN LONGITUDE: -35.178106 * SOUTH-BOUND LATITUDE: -34.600000 * WEST-BOUND LONGITUDE: -97.270000 * NORTH-BOUND LATITUDE: 67.900000 * EAST-BOUND LONGITUDE: 35.830000
	DATE/TIME START: 1990-01-01T00:30:00 * DATE/TIME END: 1998-12-31T23:30:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 5 m
Event(s):	NODC_SSS_Atlantic * DATE/TIME START: 1990-01-01T00:00:00 * DATE/TIME END: 1998-12-31T23:59:00 * METHOD/DEVICE: Thermosalinograph (TSG) * COMMENT: Position not given
Comment:	These data have been mainly collected on ships of opportunity (VOS). IRD has conducted this VOS network. Some other data have been retriewed from the NODC atlas (1998 onward).
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp)
	Salinity (Sal)
	Reference/source (Reference)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	145855 data points
*/
Date/Time	Latitude	Longitude	Depth water [m]	Temp [°C]	Sal	Reference
1990-01-12T12:30	9.60	-49.20	0	25.40	36.273	SIRD
1990-01-12T12:30	22.70	-41.30	0	24.80	37.593	SIRD
1990-01-12T12:30	31.00	-26.10	0	20.01	36.882	BNODC
1990-01-12T18:30	10.60	-48.60	0	25.30	35.515	SIRD
1990-01-12T18:30	22.00	-43.00	0	24.30	37.424	SIRD
1990-01-12T21:30	31.00	-25.00	0	19.28	36.793	BNODC
1990-01-12T21:30	49.24	-4.09	4		35.402	BNODC
1990-01-12T23:30	30.78	-37.97	0	21.09	36.810	BNODC
1990-01-13T00:30	-7.90	-34.10	0	27.80	37.078	SIRD
1990-01-13T00:30	11.50	-48.10	0	25.10	35.195	SIRD
1990-01-13T00:30	21.20	-44.80	0	24.80	37.596	SIRD
1990-01-13T06:30	20.40	-46.50	0	25.10	37.367	SIRD
1990-01-13T08:30	31.00	-22.50	0	19.18	36.749	BNODC
1990-01-13T11:30	30.70	-34.78	0	20.56	36.725	BNODC
1990-01-13T12:30	-4.50	-32.70	0	27.70	36.415	SIRD
1990-01-13T12:30	13.30	-46.80	0	24.80	35.678	SIRD
1990-01-13T12:30	19.70	-48.20	0	24.80	36.693	SIRD
1990-01-13T14:30	50.00	-3.61	4		35.288	BNODC
1990-01-13T18:30	14.20	-46.10	0	24.60	35.991	SIRD
1990-01-13T18:30	18.50	-49.50	0	25.30	36.915	SIRD
1990-01-13T23:30	30.60	-31.78	0	20.49	36.842	BNODC
1990-01-13T23:30	30.65	-21.68	0	19.42	36.837	BNODC
1990-01-14T00:30	-1.00	-31.60	0	27.50	36.276	SIRD
1990-01-14T00:30	18.20	-51.80	0	25.60	36.649	SIRD
1990-01-14T06:30	17.50	-53.50	0	25.00	35.600	SIRD
1990-01-14T11:30	30.35	-28.77	0	20.25	36.889	BNODC
1990-01-14T12:30	2.20	-30.60	0	27.40	35.624	SIRD
1990-01-14T12:30	16.80	-55.20	0	25.60	35.460	SIRD
1990-01-14T12:30	16.80	-44.30	0	24.40	37.002	SIRD
1990-01-14T18:30	17.70	-43.60	0	23.90	37.102	SIRD
1990-01-14T23:30	30.00	-25.82	0	19.90	36.828	BNODC
1990-01-14T23:30	30.02	-25.82	0	19.90	36.828	BNODC
1990-01-15T00:30	5.60	-29.40	0	27.00	36.006	SIRD
1990-01-15T00:30	15.30	-58.60	0	26.00	35.960	SIRD
1990-01-15T00:30	29.68	-22.87	0		36.830	
1990-01-15T10:30	49.90	-4.13	4		35.280	BNODC
1990-01-15T11:30	29.68	-22.87	0	19.59	36.829	BNODC
1990-01-15T12:30	8.80	-28.20	0	25.90	35.991	SIRD
1990-01-15T18:30	10.50	-27.70	0	26.50	35.687	SIRD
1990-01-15T22:30	31.83	-64.18	5	21.92	36.748	CNODC
1990-01-16T00:30	-3.00	-38.00	0	26.80	36.758	SIRD
1990-01-16T00:30	12.10	-27.10	0	24.40	35.966	SIRD
1990-01-16T05:30	-1.90	-37.30	0	26.00	36.655	SIRD
1990-01-16T12:30	-19.70	5.90	0	22.00	36.063	SIRD
1990-01-16T12:30	-0.60	-36.20	0	26.80	36.464	SIRD
1990-01-16T12:30	15.40	-26.00	0	23.00	36.321	SIRD
1990-01-16T14:30	31.86	-64.30	4	21.85	36.754	CNODC
1990-01-16T15:30	31.88	-64.32	2	21.89	36.792	CNODC
1990-01-16T17:30	0.70	-35.30	0	27.00	36.165	SIRD
1990-01-16T18:30	-18.20	4.80	0	22.00	35.890	SIRD
1990-01-16T19:30	31.88	-64.32	4	21.90	36.754	CNODC
1990-01-16T22:30	47.55	-52.59	0	0.74	32.127	BNODC
1990-01-17T00:30	-16.80	3.70	0	22.10	36.102	SIRD
1990-01-17T00:30	2.10	-34.30	0	26.20	36.074	SIRD
1990-01-17T00:30	18.70	-24.70	0	21.50	36.704	SIRD
1990-01-17T06:30	-15.30	2.50	0	22.30	36.512	SIRD
1990-01-17T06:30	3.40	-33.50	0	25.80	35.840	SIRD
1990-01-17T10:30	31.91	-64.40	2	21.75	36.792	CNODC
1990-01-17T12:30	-13.80	1.50	0	22.40	37.269	SIRD
1990-01-17T12:30	4.50	-32.60	0	25.90	35.915	SIRD
1990-01-17T12:30	22.00	-22.90	0	22.20	37.047	SIRD
1990-01-17T14:30	31.91	-64.41	4	21.75	36.753	CNODC
1990-01-17T18:30	-12.40	0.40	0	23.50	36.502	SIRD
1990-01-17T18:30	5.50	-31.80	0	26.10	36.147	SIRD
1990-01-17T18:30	23.70	-22.10	0	21.80	37.015	SIRD
1990-01-18T00:30	-10.90	-0.70	0	24.00	36.899	SIRD
1990-01-18T00:30	6.70	-30.90	0	25.60	36.246	SIRD
1990-01-18T00:30	25.30	-21.20	0	21.00	37.059	SIRD
1990-01-18T03:30	31.92	-64.47	4	21.67	36.743	CNODC
1990-01-18T06:30	-9.50	-1.80	0	23.80	36.816	SIRD
1990-01-18T06:30	7.90	-30.00	0	25.90	36.261	SIRD
1990-01-18T11:30	31.94	-64.51	4	21.62	36.742	CNODC
1990-01-18T12:30	-8.00	-2.80	0	24.20	36.486	SIRD
1990-01-18T12:30	9.20	-29.10	0	25.20	36.408	SIRD
1990-01-18T12:30	28.60	-19.70	0	20.00	37.036	SIRD
1990-01-18T17:30	31.95	-64.54	4	21.63	36.745	CNODC
1990-01-18T18:30	-6.50	-3.90	0	25.20	36.340	SIRD
1990-01-18T18:30	10.40	-28.30	0	24.80	36.278	SIRD
1990-01-18T18:30	30.40	-18.60	0	19.00	37.108	SIRD
1990-01-18T23:30	13.70	-17.70	0	20.20	36.038	SIRD
1990-01-19T00:30	-5.10	-5.00	0	26.10	36.135	SIRD
1990-01-19T00:30	11.60	-27.40	0	24.10	36.266	SIRD
1990-01-19T00:30	32.00	-17.70	0	19.00	36.821	SIRD
1990-01-19T06:30	-3.70	-6.20	0	26.00	35.562	SIRD
1990-01-19T06:30	11.50	-17.50	0	20.00	35.439	SIRD
1990-01-19T06:30	12.90	-26.50	0	23.50	36.045	SIRD
1990-01-19T12:30	-2.20	-7.20	0	26.10	35.841	SIRD
1990-01-19T12:30	9.80	-16.30	0	23.50	35.461	SIRD
1990-01-19T12:30	14.10	-25.50	0	23.20	36.156	SIRD
1990-01-19T12:30	34.90	-15.90	0	17.60	36.540	SIRD
1990-01-19T18:30	-0.70	-8.30	0	26.30	35.541	SIRD
1990-01-19T18:30	8.60	-15.20	0	26.80	35.398	SIRD
1990-01-19T18:30	15.40	-24.50	0	22.50	36.336	SIRD
1990-01-19T18:30	17.40	-57.60	0	26.00	35.845	SIRD
1990-01-19T18:30	36.50	-14.80	0	16.70	36.416	SIRD
1990-01-20T00:30	0.70	-9.40	0	26.40	35.769	SIRD
1990-01-20T00:30	7.20	-13.80	0	25.30	35.398	SIRD
1990-01-20T00:30	16.70	-23.50	0	21.50	36.662	SIRD
1990-01-20T00:30	18.20	-55.90	0	25.00	37.147	SIRD
1990-01-20T06:30	2.20	-10.50	0	27.80	35.086	SIRD
1990-01-20T06:30	5.90	-12.60	0	27.50	35.908	SIRD
1990-01-20T06:30	17.90	-22.80	0	21.00	36.303	SIRD
1990-01-20T11:30	36.00	-1.90	0	16.07	36.511	BNODC
1990-01-20T12:30	3.50	-11.50	0	28.10	34.655	SIRD
