Planeta,Metodo,NumPlanetas,PeriodoOrbital,SemiejeMayor,Excentricidad,Inclinacion,MasaJup,RadioJup,Densidad,Distancia,MagnitudOptica,TempEfectiva,MasaEstelar,RadioEstelar,TamanoPlaneta,DistanciaCat,EdadEstrellaCat,MetodoSimplificado,TipoOrbita,SesgoTamano
Kepler-250 b,Transit,3,4.148141,0.048,,,,0.101,,788.0,15.46,5160.0,,0.81,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-250 c,Transit,3,7.156804,0.069,,,,0.203,,788.0,15.46,5160.0,,0.81,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-250 d,Transit,3,17.648312,0.127,,,,0.194,,788.0,15.46,5160.0,,0.81,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-251 b,Transit,4,4.790936,0.053,,,,0.119,,1014.0,15.223,5526.0,,0.89,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-251 c,Transit,4,16.514043,0.122,,,,0.247,,1014.0,15.223,5526.0,,0.89,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-251 d,Transit,4,30.133001,0.182,,,,0.247,,1014.0,15.223,5526.0,,0.89,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-251 e,Transit,4,99.640161,0.404,,,,0.247,,1014.0,15.223,5526.0,,0.89,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-252 b,Transit,2,6.668391,0.058,,,,0.11,,391.0,15.058,4208.0,,0.55,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-252 c,Transit,2,10.848463,0.08,,,,0.192,,391.0,15.058,4208.0,,0.55,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-253 b,Transit,3,3.783986,0.046,,,,0.145,,849.0,15.532,5208.0,,0.79,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-253 c,Transit,3,10.281951,0.089,,,,0.236,,849.0,15.532,5208.0,,0.79,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-253 d,Transit,3,18.119869,0.13,,,,0.283,,849.0,15.532,5208.0,,0.79,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-254 b,Transit,3,5.826662,0.064,,,,0.345,,1366.0,15.843,5957.0,,0.91,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-254 c,Transit,3,12.412183,0.105,,,,0.192,,1366.0,15.843,5957.0,,0.91,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-254 d,Transit,3,18.746477,0.139,,,,0.223,,1366.0,15.843,5957.0,,0.91,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-255 b,Transit,3,5.714606,0.063,,,,0.138,,1011.0,15.596,5573.0,,0.93,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-255 c,Transit,3,9.946047,0.092,,,,0.267,,1011.0,15.596,5573.0,,0.93,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-255 d,Transit,3,1.04562266,,,,,0.118,,1011.0,15.596,5573.0,,0.93,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-256 b,Transit,4,1.620493,0.027,,,,0.142,,1181.0,15.065,5551.0,,1.3,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-256 c,Transit,4,3.38802,0.045,,,,0.192,,1181.0,15.065,5551.0,,1.3,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-256 d,Transit,4,5.839172,0.064,,,,0.221,,1181.0,15.065,5551.0,,1.3,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-256 e,Transit,4,10.681572,0.096,,,,0.21,,1181.0,15.065,5551.0,,1.3,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-257 b,Transit,3,2.382667,0.034,,,,0.233,,775.0,15.471,5180.0,,1.04,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-257 c,Transit,3,6.581484,0.066,,,,0.483,,775.0,15.471,5180.0,,1.04,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-257 d,Transit,3,24.664551,0.16,,,,0.442,,775.0,15.471,5180.0,,1.04,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-258 b,Transit,2,13.19722,0.103,,,,0.362,,592.0,15.223,4942.0,,0.92,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-258 c,Transit,2,33.653079,0.193,,,,0.322,,592.0,15.223,4942.0,,0.92,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-259 b,Transit,2,8.115317,0.079,,,,0.25,,1014.0,15.219,5938.0,,0.9,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-259 c,Transit,2,36.924931,0.217,,,,0.241,,1014.0,15.219,5938.0,,0.9,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-26 b,Transit,4,12.28,,,,0.01611,0.248,1.26,339.0,15.473,3914.0,0.54,0.51,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-26 c,Transit,4,17.2559,,,,0.01951,0.243,1.61,339.0,15.473,3914.0,0.54,0.51,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-26 d,Transit,4,3.543919,0.039,,,,0.095,,339.0,15.473,3914.0,0.54,0.51,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-26 e,Transit,4,46.827915,0.22,,,,0.215,,339.0,15.473,3914.0,0.54,0.51,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-260 b,Transit,2,8.187399,0.075,,,,0.179,,589.0,14.138,5250.0,,0.86,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-260 c,Transit,2,76.050178,0.332,,,,0.155,,589.0,14.138,5250.0,,0.86,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-261 b,Transit,2,10.381227,0.088,,,,0.194,,338.0,13.562,5098.0,,0.79,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-261 c,Transit,2,24.570858,0.156,,,,0.178,,338.0,13.562,5098.0,,0.79,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-262 b,Transit,2,13.060855,0.108,,,,0.121,,810.0,14.246,5841.0,,0.88,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-262 c,Transit,2,21.853722,0.152,,,,0.146,,810.0,14.246,5841.0,,0.88,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-263 b,Transit,2,16.568087,0.12,,,,0.238,,891.0,15.391,5265.0,,0.79,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
